                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7573,                 3.5503,                 2.6351,                0.65366,                0.50622,                0.59694,                0.43584,                 1.1082,                 1.1511,                 1.1406,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.6262,                 3.4416,                 2.4399,                0.64527,                 0.5285,                0.59763,                 0.4316,                  1.128,                 1.1721,                 1.1548,              1.196e-05,              1.196e-05,              1.196e-05
                      3,                 2.6323,                 3.5384,                 2.5498,                0.59785,                0.53822,                0.59032,                0.42435,                 1.1514,                 1.2045,                 1.1691,             9.3058e-06,             9.3058e-06,             9.3058e-06
