                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8406,                 5.0979,                 3.0912,                0.76129,                    0.5,                0.51304,                0.34792,                 1.3171,                 2.3126,                 1.1859,               5.95e-06,               5.95e-06,               5.95e-06
                      2,                 2.8335,                 5.0289,                 3.0732,                0.82096,                0.47036,                0.51237,                0.34702,                 1.3362,                 2.3227,                 1.1947,             8.7703e-06,             8.7703e-06,             8.7703e-06
                      3,                 2.7544,                 4.7092,                  2.973,                0.81336,                0.46154,                0.50887,                0.34376,                 1.3448,                 2.3367,                 1.1928,             6.8782e-06,             6.8782e-06,             6.8782e-06
